SnapshotID,AsOfDate,NetLiquidatingValue,CashValue,OptionMarketValue,UnrealizedPnL,DayPnL,YtdPnL,TotalFeesYTD,StockBuyingPower,OptionBuyingPower,IntradayBuyingPower,DataQualityStatus,DataQualityIssues,SourcePath,SourceSHA256,ImportedAt
5c42f75f516a1242496a1813,2026-09-07,99497.23,91622.73,7874.5,210.5,0.0,-387.5,115.27,183193.16,90277.38,361109.52,COMPLETE,,2026-09-07-AccountStatement.csv,5f5dc4cd13b224d83ac817c7dcc9682eed06a6acdc44971657449195840bdea1,2026-09-11T19:36:45
b72c72d137af19d719e34ea5,2026-09-08,199180.31,195239.31,3941.0,-200.0,-292.5,-680.0,139.69,270195.22,183778.41,335113.64,QUARANTINED,NAV_JUMP_REQUIRES_EXTERNAL_FLOW_RECONCILIATION,2026-09-08-AccountStatement.csv,8a021521095612a8232b55612a819a759b480f6c188f069145e1f45e13760eb4,2026-09-11T19:36:46
d651a95a843796d34e2d5e98,2026-09-10,98852.45,94844.45,4008.0,-29.0,0.0,-990.0,157.55,162629.7,80300.45,321201.8,COMPLETE,,2026-09-10-AccountStatement.csv,389bdf46b28547d4a8c382fb5000141991a048b85cde5eb5eb5bf8ad1f093788,2026-09-11T19:36:46
a35852353048d5d39dafcccb,2026-09-11,98860.23,92775.73,6084.5,174.5,141.0,-946.5,193.27,185836.06,92775.73,371102.92,COMPLETE,,2026-09-11-AccountStatement.csv,f44c7aade65e30ab2192e786c25c9ab4f7854a6c2863b5bf92fe52480e04fac5,2026-09-11T19:36:46
a8b1be77dedf725931f1a36d,2026-09-14,98402.34,92982.84,5419.5,209.5,-444.0,-1390.5,207.16,186250.28,92982.84,371931.36,COMPLETE,,2026-09-14-AccountStatement.csv,bcb2fb35c349598136e5d4fb1896226be9a6eff5de186fb2582b5cebd23e58e6,2026-09-14T18:35:58
24198809b21170a1503ab949,2026-09-15,98417.51,96520.51,1897.0,97.0,22.5,-1368.0,214.49,195186.02,96520.51,386082.04,COMPLETE,,2026-09-15-AccountStatement.csv,a39cb742b594f3c02f87278defa7f6cc9688a1bb7504c7b6bc1e2cf3d17327da,2026-09-15T19:55:30
6976a80b4ff402e1e05a8753,2026-09-16,97708.32,94021.82,3686.5,-61.5,-675.5,-2043.5,248.18,182401.84,90559.82,362239.28,COMPLETE,,2026-09-16-AccountStatement.csv,3f949a508125b04d66b411163efb3ecfaac7eb13c6bbd8559f7d270e3886a6fb,2026-09-16T18:49:30
